Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
382,0.507419,0.514,0,-1.
383,0.510075,0.493,0,-1.
384,0.487082,0.485,0,-1.
385,0.502088,0.494,0,-1.
386,0.534051,0.514,0,-1.
387,0.511517,0.474,0,-1.
388,0.496335,0.496,0,-1.
389,0.494733,0.507,0,-1.
390,0.483357,0.505,0,-1.
391,0.488706,0.515,0,-1.
392,0.522467,0.523,0,-1.
393,0.486871,0.508,0,-1.
394,0.491906,0.478,0,-1.
395,0.478635,0.502,0,-1.
396,0.494976,0.488,0,-1.
397,0.479913,0.483,0,-1.
398,0.482102,0.5,0,-1.
399,0.485814,0.508,0,-1.
400,0.490673,0.485,0,-1.

Summary Measures (across all batches)
Server Utilization,0.499784	+/- 0.00163361	(0.326864 %)
Loss/Blocking Probability,0.500083	+/- 0.00157311	(0.314569 %)
Average Number in Queue,0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
